bikes,bike_stands,temp_c,feelslike_c,wind_kph,humidity,precip_mm,gust_kph,wind_degree,pressure_mb,cloud,uv
23,8,1.0,-3.1,15.0,97.67,0.0,19.4,286,1025.5,47.4,0
22,10,0.7,-3.2,13.5,94.88,0.0,19.8,286,1025.7,19.7,0
22,9,-0.3,-4.1,11.9,97.2,0.0,20.2,284,1026.6,24.8,0
23,8,0.0,-3.8,11.9,98.97,0.0,20.5,269,1026.8,19.7,0
23,8,0.1,-3.3,10.8,96.57,0.0,20.2,302,1027.4,26.2,0
23,8,-1.2,-4.3,8.4,97.64,0.0,19.1,290,1027.6,17.2,0
23,8,-1.4,-4.9,9.9,95.45,0.0,18.0,293,1027.8,14.2,0
23,8,-1.8,-5.4,10.1,94.52,0.0,16.6,294,1028.5,27.5,0
22,9,-1.7,-5.5,10.4,93.88,0.0,15.5,292,1028.7,38.5,0
24,8,-2.5,-6.4,10.5,98.08,0.0,16.2,266,1029.5,40.4,0
24,7,-2.8,-7.2,12.5,94.1,0.0,16.2,279,1029.8,26.2,0
24,7,-2.7,-7.3,13.1,94.66,0.0,17.6,274,1030.6,21.1,0
26,5,-1.6,-5.4,10.5,95.62,0.0,17.3,273,1030.7,32.8,0
29,3,-0.5,-3.7,9.4,94.75,0.0,17.3,273,1031.4,32.8,1
31,1,0.6,-2.6,10.1,94.23,0.003,16.9,283,1031.5,39.6,2
31,1,0.0,0.0,4.7,97.17,0.0,18.0,252,1031.5,74.1,0
30,2,1.4,-1.1,8.3,94.38,0.0,17.3,298,1031.2,61.1,1
28,3,1.1,-0.8,6.3,98.06,0.0,16.6,283,1031.5,66.2,0
25,7,1.7,0.1,5.6,95.84,0.0,14.0,259,1031.6,81.2,0
24,7,0.7,-1.3,6.3,96.17,0.0,11.5,296,1032.2,72.8,0
24,7,-0.1,-2.2,6.0,94.84,0.0,8.3,280,1032.5,27.6,0
19,12,-0.9,-2.8,5.6,96.16,0.0,9.0,295,1032.6,41.2,0
19,12,-0.3,-3.1,8.0,99.6,0.0,7.2,74,1033.2,67.7,0
18,14,0.6,-1.7,7.0,98.86,0.0,5.8,51,1033.1,75.4,0
17,14,1.6,1.6,4.7,97.25,0.0,5.0,110,1033.3,67.4,0
18,14,2.5,0.6,6.9,97.97,0.0,4.7,109,1033.5,87.8,0
18,14,2.5,-0.6,11.0,95.22,2.987,4.3,67,1033.6,89.0,0
17,14,2.8,1.2,6.0,94.78,0.0,9.7,50,1033.6,78.1,0
17,14,1.9,-0.8,9.4,94.04,0.0,13.7,141,1033.6,43.8,0
17,14,1.2,-0.8,6.6,90.65,0.0,11.5,81,1033.7,67.8,0
17,14,1.7,-0.9,8.4,92.47,0.0,9.7,87,1034.1,87.8,0
17,14,2.6,-0.5,11.6,94.5,0.0,14.0,117,1034.1,89.0,0
18,13,3.3,-0.2,14.7,82.09,0.0,20.5,110,1034.2,89.0,0
21,10,3.8,0.1,16.1,78.76,0.0,25.6,101,1034.3,87.8,0
7,25,3.9,-0.1,18.8,71.03,0.0,29.5,97,1034.5,89.0,0
8,23,3.9,-0.9,24.6,74.6,0.0,30.2,103,1035.0,89.0,0
12,19,3.8,-0.3,18.5,72.37,0.0,29.9,116,1035.3,89.0,0
