name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dublin,2024-02-05,11.6,9,10.4,11.6,5.5,9.1,6.9,79.1,0.005,100,8.33,rain,0,0,67,33.3,241,1013,89.4,19.1,27.7,2.5,1,,2024-02-05T08:03:39,2024-02-05T17:15:04,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-06,10.8,2.3,7,10.8,-0.3,5.2,5.2,88.1,7.618,100,12.5,rain,0,0,67.7,29.1,265.6,1005.1,88.9,14.5,14.3,1.2,1,,2024-02-06T08:01:51,2024-02-06T17:17:02,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-07,6,0,2.7,4,-3.2,0.3,0.3,84.7,0.001,100,4.17,rain,0,0,22.7,16.2,350.2,1006.3,77.8,20.2,39.3,3.4,2,,2024-02-07T08:00:01,2024-02-07T17:19:01,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-08,7,2.7,4.9,4,-3.3,0.1,3.8,92.7,15.809,100,12.5,rain,0,0,55.4,37,87.6,985.8,93.5,7.6,10,0.7,1,,2024-02-08T07:58:10,2024-02-08T17:20:59,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-09,6.1,5.1,5.7,6,0.3,2.6,5.2,96.6,7.576,100,12.5,rain,0,0,43.2,31.1,76.8,973.9,94.7,8.8,15.9,1.4,1,,2024-02-09T07:56:16,2024-02-09T17:22:58,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-10,8.9,1.5,4.9,6.7,-0.8,2.8,3.7,92.1,0.085,100,8.33,rain,0,0,36.7,16.3,98.2,980.2,57.4,13.7,33.2,3,1,,2024-02-10T07:54:21,2024-02-10T17:24:56,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-11,8.1,0.8,5,4.2,-2.1,1.6,2.8,86.4,0.002,100,4.17,rain,0,0,47.5,29.4,256.3,991.6,60.9,15.9,49.9,4.3,3,,2024-02-11T07:52:25,2024-02-11T17:26:55,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-12,8,1.9,4.7,4.2,-2.7,0.7,1.7,81.1,0.077,100,12.5,rain,0,0,51.5,28.5,236.2,1001.4,39.1,20,59.1,5.1,3,,2024-02-12T07:50:27,2024-02-12T17:28:53,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,AMOUK11,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-13,8.5,4.3,6.7,7.1,1.3,4.5,4.9,88.6,0.761,100,12.5,rain,0,0,28.4,16.8,162.2,1005.4,89,17.8,35.8,3.1,2,,2024-02-13T07:48:27,2024-02-13T17:30:52,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,AMOUK11,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
dublin,2024-02-14,13,7.1,11.2,13,6.4,11.1,9.7,90.2,2.467,100,8.33,rain,0,0,40.3,19.4,200.5,1003.8,88.8,15.6,29.4,2.6,1,,2024-02-14T07:46:26,2024-02-14T17:32:50,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME,03961099999"
